Planet_Name,Host_Star,Discovery_Method,Discovery_Year,Discovery_Facility,Reference_Name,Orbital_Period_Days,Orbital_Period_Error_Upper,Orbital_Period_Error_Lower,Semi_Major_Axis_AU,Planet_Radius_Earth,pl_radj,Planet_Mass_Earth,pl_bmassj,pl_bmassprov,Orbital_Eccentricity,pl_insol,Equilibrium_Temperature,UEB_temp,LEB_temp,pl_eqtlim,ttv_flag,st_refname,st_spectype,Star_Temperature_K,Star_UEBTemp,Star_LEBTemp,st_tefflim,Star_Radius_Solar,Star_Mass_Solar,Star_Metallicity,Star_Surface_Gravity,sy_refname,rastr,ra,dec,System_Distance_PC,System_Visual_Magnitude,System_Infrared_Magnitude,Discovery_Date,features,scaled_features,Discovery_Method_Index,Discovery_Facility_Index
K2-182 b,K2-182,Transit,2018,K2,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,4.7369696,1.7E-6,-1.70E-06,0.05174,2.713,0.242,20.97667,0.066,Mass,0.071,486.9533952254643,966,10,-10,0,0,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,Unknown,5128,79,-80,0,0.79,0.82,0.022,4.56,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m43.21s,130.180046,10.9829509,154.83,11.833,9.913,1/1/2018,"[2.713,20.97667,5128.0]","[-1.0202303812598594,-0.5365321236010151,-0.3260488977244085]",0,2
Kepler-418 b,Kepler-418,Transit,2014,Kepler,<a refstr=TINGLEY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A..14T/abstract target=ref> Tingley et al. 2014</a>,86.67856,7.0E-5,-7.00E-05,0.11312557679914075,13.45,1.2,349.61125,1.1,Mass,0.2,486.9533952254643,1102,28,-27,0,0,<a refstr=TINGLEY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A..14T/abstract target=ref> Tingley et al. 2014</a>,Unknown,5820,100,-100,0,1.09,0.98,-0.05,4.35,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m44.05s,294.4335228,38.3554729,1002.53,14.824,13.103,1/1/2014,"[13.45,349.61125,5820.0]","[0.9309534383569337,0.14333939165935225,0.5214647647096871]",0,1
TOI-2158 b,TOI-2158,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220413956K/abstract target=ref>Knudstrup et al. 2022</a>,8.60077,3.0E-5,-3.00E-05,0.075,10.761,0.96,260.61929,0.82,Mass,0.07,486.9533952254643,1188,10,-10,0,0,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220413956K/abstract target=ref>Knudstrup et al. 2022</a>,Unknown,5673,50,-50,0,1.41,1.12,0.47,4.19,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h27m14.41s,276.8100527,20.5268868,198.473,10.887,9.071,1/1/2022,"[10.761,260.61929,5673.0]","[0.4422942885991282,-0.04076508904133972,0.3414293479787448]",0,0
HATS-52 b,HATS-52,Transit,2017,HATSouth,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,1.36665436,9.4E-7,-9.40E-07,0.02498,15.491,1.382,711.9392,2.24,Mass,0.246,486.9533952254643,1834,73,-73,0,0,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,Unknown,6010,150,-150,0,1.05,1.11,0.062,4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h20m21.02s,140.0875894,-31.2692116,555.134,13.844,12.114,1/1/2017,"[15.491,711.9392,6010.0]","[1.3018546375594926,0.8929149609365801,0.754163602661245]",0,4
Kepler-79 e,Kepler-79,Transit,2014,Kepler,<a refstr=JONTOF_HUTTER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785...15J/abstract target=ref>Jontof-Hutter et al. 2014</a>,81.0659,0.0013,-0.0011,0.386,3.49,0.311,4.1,0.013,Mass,0.012,486.9533952254643,1102,28,-27,0,1,<a refstr=JONTOF_HUTTER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785...15J/abstract target=ref>Jontof-Hutter et al. 2014</a>,Unknown,6174,83,-117,0,1.3,1.17,-0.073,4.27,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h02m04.11s,300.5171067,44.3815508,1020.72,14.036,12.606,1/1/2014,"[3.49,4.1,6174.0]","[-0.8790298757329666,-0.5714461828745376,0.9550194417352215]",0,1
TOI-1249 b,TOI-1249,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,13.079151,5.4E-5,-5.40E-05,0.109,3.271,0.292,11.9,0.03744,Mass,0,486.9533952254643,727,12,-11,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,Unknown,5497,69,-67,0,0.98,1.01,0.297,4.46,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h22m14.78s,200.5615762,66.3085331,139.49,11.089,9.126,1/1/2024,"[3.271,11.9,5497.0]","[-0.9188277016150639,-0.5553097257219433,0.1258767401920384]",0,0
TOI-5076 b,TOI-5076,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MONTALTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240518950M/abstract target=ref>Montalto et al. 2024</a>,23.445,0.001,-0.001,0.11312557679914075,3.2,0.285,16,0.05034,Mass,0.09342614,486.9533952254643,615,20,-20,0,0,<a refstr=MONTALTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240518950M/abstract target=ref>Montalto et al. 2024</a>,K2 V,5070,143,-143,0,0.78,0.8,0.2,4.6,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h22m02.50s,50.5104166,17.2392094,82.857,10.9,8.582,1/1/2024,"[3.2,16.0,5070.0]","[-0.9317301931110863,-0.546827741834041,-0.3970832798359367]",0,0
Kepler-177 b,Kepler-177,Transit,2013,Kepler,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,36.8601,0.0015,-0.0014,0.11312557679914075,3.5,0.312,5.84,0.01837,Mass,0,30.4,1102,28,-27,0,1,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,Unknown,5732,60,-60,0,1.32,0.92,-0.11,4.1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h04m11.31s,286.0471442,45.0532038,1435.44,15.171,13.421,1/1/2013,"[3.5,5.84,5732.0]","[-0.8772126234095833,-0.5678465116635744,0.41368846081633387]",0,1
TOI-1347 b,TOI-1347,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=RUBENZAHL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207451R/abstract target=ref>Rubenzahl et al. 2024</a>,0.84742346,6.1E-7,-6.10E-07,0.11312557679914075,1.8,0.161,11.1,0.03492,Mass,0,486.9533952254643,1400,40,-40,0,0,<a refstr=RUBENZAHL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207451R/abstract target=ref>Rubenzahl et al. 2024</a>,Unknown,5464,100,-100,0,0.83,0.91,0.04,4.64,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h41m18.40s,280.3266806,70.2900536,147.476,11.168,9.616,1/1/2024,"[1.8,11.1,5464.0]","[-1.1861455183847671,-0.5569647469683632,0.08546062623203096]",0,0
TOI-1710 b,TOI-1710,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,24.283377,2.6E-5,-2.60E-05,0.166,5.203,0.464,22.4,0.07048,Mass,0,486.9533952254643,603,9,-9,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,Unknown,5684,64,-68,0,0.96,1.03,0.147,4.49,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h17m08.12s,94.2838373,76.21102,81.2271,9.545,7.959,1/1/2022,"[5.203,22.4,5684.0]","[-0.5677345527373844,-0.5335875718626816,0.35490138596541393]",0,0
HATS-10 b,HATS-10,Transit,2015,HATSouth,<a refstr=BRAHM_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...33B/abstract target=ref>Brahm et al. 2015</a>,3.312846,5.8E-6,-5.80E-06,0.04491,10.862,0.969,167.17858,0.526,Mass,0.501,486.9533952254643,1407,39,-39,0,0,<a refstr=BRAHM_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...33B/abstract target=ref>Brahm et al. 2015</a>,Unknown,5880,120,-120,0,1.1,1.1,0.15,4.39,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m13.64s,294.3068385,-22.2044872,534.889,13.202,11.511,1/1/2015,"[10.862,167.17858,5880.0]","[0.46064853706530107,-0.234073039454545,0.594948608273337]",0,4
HATS-45 b,HATS-45,Transit,2018,HATSouth,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,4.1876244,5.6E-6,-5.60E-06,0.05511,14.415,1.286,222.481,0.7,Mass,0.24,486.9533952254643,1518,45,-45,0,0,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,Unknown,6450,110,-110,0,1.31,1.27,0.02,4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h47m58.62s,101.9942455,-21.9107112,772.11,13.325,12.137,1/1/2018,"[14.415,222.481,6450.0]","[1.106318287563435,-0.11966468935649617,1.293045122128011]",0,4
Kepler-447 b,Kepler-447,Transit,2015,Kepler,<a refstr=LILLO_BOX_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.105L/abstract target=ref>Lillo-Box et al. 2015</a>,7.79430132,1.82E-6,-1.82E-06,0.0769,18.49,1.65,435.41,1.37,Mass,0.123,486.9533952254643,1102,28,-27,0,0,<a refstr=LILLO_BOX_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.105L/abstract target=ref>Lillo-Box et al. 2015</a>,G8 V,5493,62,-62,0,1.05,1,0.07,4.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m04.45s,285.2685283,48.5598835,268.041,12.52,10.806,1/1/2015,"[18.49,435.41,5493.0]","[1.8468486093421843,0.3208378343671935,0.12097781728779508]",0,1
Kepler-74 b,Kepler-74,Transit,2013,Kepler,<a refstr=BONOMO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..85B/abstract target=ref>Bonomo et al. 2015</a>,7.340711,6.0E-6,-6.00E-06,0.0781,10.76,0.96,200.22,0.63,Mass,0,486.9533952254643,1078,19,-19,0,0,<a refstr=BONOMO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..85B/abstract target=ref>Bonomo et al. 2015</a>,F8 V,6000,100,-100,0,1.12,1.18,0.42,4.44,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h32m22.21s,293.0925275,41.3555095,1177.55,14.487,12.958,1/1/2013,"[10.76,200.22,6000.0]","[0.44211256336678995,-0.16571772431468906,0.7419162954006367]",0,1
POTS-1 b,POTS-1,Transit,2013,La Silla Observatory,<a refstr=KOPPENHOEFER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3133K/abstract target=ref> Koppenhoefer et al. 2013 </a>,3.1606296,1.57E-6,-1.57E-06,0.03734,10.548,0.941,734.16,2.31,Mass,0.09342614,486.9533952254643,1102,28,-27,0,0,<a refstr=KOPPENHOEFER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3133K/abstract target=ref> Koppenhoefer et al. 2013 </a>,K5 V,4400,200,-200,0,0.59,0.69,-0.03,4.63,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h34m26.09s,203.6087259,-66.5811639,747.959,17.9083,14.244,1/1/2013,"[10.548,734.16,4400.0]","[0.40358681411106123,0.9388848310771403,-1.217652866296694]",0,14
HATS-27 b,HATS-27,Transit,2016,HATSouth,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>,4.637038,1.4E-5,-1.40E-05,0.0611,16.814,1.5,168.4499,0.53,Mass,0.581,486.9533952254643,1659,66,-46,0,0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>,F,6438,64,-64,0,1.74,1.42,0.09,4.11,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h54m12.59s,193.5524603,-46.5877159,816.988,12.782,11.55,1/1/2016,"[16.814,168.4499,6438.0]","[1.542277119943121,-0.23144296244079673,1.278348353415281]",0,4
Kepler-107 b,Kepler-107,Transit,2014,Kepler,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,3.1800218,2.9E-6,-2.90E-06,0.04544,1.536,0.137,3.8,0.01196,Mass,0.1,1073,1592,19,-19,0,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,Unknown,5854,61,-61,0,1.45,1.24,0.321,4.392565130260512,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m06.76s,297.028162,48.2086019,525.997,12.543,11.06,1/1/2014,"[1.536,3.8,5854.0]","[-1.2341209797220898,-0.5720668158419451,0.5631056093957554]",0,1
TOI-1898 b,TOI-1898,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,45.52234,6.1E-5,-6.10E-05,0.269,9.396,0.838,129,0.40588,Mass,0.485,486.9533952254643,675,12,-12,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,Unknown,6241,88,-85,0,1.61,1.25,-0.095,4.12,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h38m13.27s,144.5553,23.5467464,79.6682,7.87,6.663,1/1/2024,"[9.396,129.0,6241.0]","[0.1942393464572897,-0.31305599077722435,1.0370764003812971]",0,0
CoRoT-7 b,CoRoT-7,Transit,2009,CoRoT,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.85359163,1.0E-8,-1.00E-08,0.11312557679914075,1.681,0.15,4.07661,0.01283,Mass,0,486.9533952254643,1102,28,-27,0,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Unknown,5275,75,-75,0,0.83,0.82,0.05,4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m49.48s,100.9561682,-1.0630076,159.906,11.728,9.806,1/1/2009,"[1.681,4.07661,5275.0]","[-1.20777082103303,-0.5714945715582298,-0.14601348099346623]",0,6
Kepler-20 f,Kepler-20,Transit,2011,Kepler,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,19.578328,4.8E-5,-4.80E-05,0.1387,0.952,0.085,1.4,0.0044,Mass,0.094,35.9,681,9,-9,0,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,Unknown,5495,50,-50,0,0.92,0.93,0.07,4.392565130260512,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,42.3385782,282.563,12.61,10.871,1/1/2011,"[0.952,1.4,5495.0]","[-1.3402485154076822,-0.577031879581205,0.12342727873991675]",0,1
HATS-5 b,HATS-5,Transit,2014,HATSouth,<a refstr=ZHOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..144Z/abstract target=ref> Zhou et al. 2014 </a>,4.763387,1.0E-5,-1.00E-05,0.0542,10.223,0.912,75.323,0.237,Mass,0.019,486.9533952254643,1025,17,-17,0,0,<a refstr=ZHOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..144Z/abstract target=ref> Zhou et al. 2014 </a>,G,5304,50,-50,0,0.87,0.94,0.19,4.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h28m53.48s,67.2228465,-21.4820568,246.384,12.598,10.703,1/1/2014,"[10.223,75.323,5304.0]","[0.34452611360109975,-0.42410171008232833,-0.11049628993770211]",0,4
Kepler-106 b,Kepler-106,Transit,2014,Kepler,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,6.16486,0.013030851,-0.009756005,0.11312557679914075,0.82,0.073,5.3,0.01668,Mass,0.09342614,486.9533952254643,1102,28,-27,0,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,Unknown,5858,114,-114,0,1.04,1,-0.12,4.41,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h03m27.36s,300.864006,44.3375497,444.322,12.923,11.431,1/1/2014,"[0.82,5.3,5858.0]","[-1.3642362460763435,-0.5689636510049078,0.5680045322999987]",0,1
TOI-6038 A b,TOI-6038 A,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BALIWAL_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250102272B/abstract target=ref>Baliwal et al. 2025</a>,5.8267311,7.4E-6,-6.80E-06,0.069,6.41,0.572,78.5,0.24699,Mass,0.09342614,716,1439,25,-24,0,0,<a refstr=BALIWAL_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250102272B/abstract target=ref>Baliwal et al. 2025</a>,Unknown,6110,100,-100,0,1.65,1.29,0.124,4.12,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h26m37.74s,51.6572691,40.8172704,179.147,9.913,8.445,1/1/2025,"[6.41,78.5,6110.0]","[-0.34839219730500387,-0.41752920695748313,0.8766366752673282]",0,0
K2-141 b,K2-141,Transit,2018,K2,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.2803244,1.5E-6,-1.50E-06,0.00747,1.51,0.135,4.97,0.01564,Mass,0,3260,2103,56,-56,0,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,Unknown,4570,100,-100,0,0.68,0.71,0,4.392565130260512,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h23m40.09s,350.9170464,-1.1891827,61.8736,11.454,8.401,1/1/2018,"[1.51,4.97,4570.0]","[-1.2388458357628866,-0.5696463472690559,-1.0094486428663525]",0,2
K2-199 b,K2-199,Transit,2018,K2,<a refstr=AKANA_MURPHY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..294A/abstract target=ref>Akana Murphy et al. 2021</a>,3.2253993,2.4E-6,-2.40E-06,0.0382,1.73,0.154,6.9,0.02171,Mass,0.02,116.2,913,23,-23,0,0,<a refstr=AKANA_MURPHY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..294A/abstract target=ref>Akana Murphy et al. 2021</a>,Unknown,4491,100,-100,0,0.68,0.71,-0.01,4.392565130260512,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h55m36.35s,208.9014508,-6.1360833,107.518,12.358,9.625,1/1/2018,"[1.73,6.9,4491.0]","[-1.198866284648451,-0.5656536085120679,-1.1062023702251582]",0,2
KOI-1831 d,Kepler-324,Transit,2021,Kepler,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,34.169,0.013030851,-0.009756005,0.11312557679914075,1.13,0.101,2.23,0.00702,Mass,0.09342614,486.9533952254643,475,9,-9,0,0,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,Unknown,5233,60,-60,0,0.83,0.9,0.062,4.392565130260512,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m53.15s,286.4714473,49.6490933,501.574,14.222,12.291,1/1/2021,"[1.13,2.23,5233.0]","[-1.3079014240514573,-0.5753147950380443,-0.19745217148802116]",0,1
Kepler-51 c,Kepler-51,Transit,2012,Kepler,<a refstr=MASUDA_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783...53M/abstract target=ref> Masuda 2014 </a>,85.312,0.003,-0.002,0.384,9,0.803,4,0.013,Mass,0.014,486.9533952254643,439,9,-9,0,1,<a refstr=MASUDA_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783...53M/abstract target=ref> Masuda 2014 </a>,Unknown,6018,107,-107,0,0.94,1.04,0.062,4.51,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m55.14s,296.4797624,49.9376486,783.831,14.885,13.197,1/1/2012,"[9.0,4.0,6018.0]","[0.12227615445130559,-0.5716530605303402,0.7639614484697318]",0,1
TOI-519 b,TOI-519,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KAGETANI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230414703K/abstract target=ref>Kagetani et al. 2023</a>,1.2652328,5.0E-7,-5.00E-07,0.0159,11.545,1.03,147.15455,0.463,Mass,0.33,486.9533952254643,687,14,-14,0,0,<a refstr=KAGETANI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230414703K/abstract target=ref>Kagetani et al. 2023</a>,M V,3322,49,-49,0,0.35,0.34,0.27,4.87,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h18m25.62s,124.6067582,-19.6627918,115.557,17.35,11.951,1/1/2021,"[11.545,147.15455,3322.0]","[0.5847668707523895,-0.2754982833157329,-2.5379125889902707]",0,0
HD 17156 b,HD 17156,Radial Velocity,2007,Subaru Telescope,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,21.21663,4.5E-4,-4.50E-04,0.11312557679914075,12.33,1.1,1115.5833,3.51,Mass,0.68,486.9533952254643,1102,28,-27,0,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Unknown,6040,24,-24,0,1.55,1.41,0.19,4.2,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h49m44.79s,42.4366123,71.7530882,78.0863,8.17,6.763,1/1/2007,"[12.33,1115.5833,6040.0]","[0.7274211781379892,1.7279644128016494,0.79090552444307]",1,27
Kepler-20 b,Kepler-20,Transit,2011,Kepler,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,3.6961049,1.6E-6,-1.60E-06,0.04565,1.773,0.158,9.7,0.03052,Mass,0.083,331,1187,16,-16,0,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,Unknown,5495,50,-50,0,0.92,0.93,0.07,4.392565130260512,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,42.3385782,282.563,12.61,10.871,1/1/2011,"[1.773,9.7,5495.0]","[-1.1910520996579024,-0.5598610341495981,0.12342727873991675]",0,1
